class_group,gender,YOB,regret_choosing_bi,drop_bi_now,motivator,read_content_before_lecture,anticipate_test_questions,answer_rhetorical_questions,find_terms_I_do_not_know,copy_new_terms_in_reading_notebook,take_quizzes_and_use_results,reorganise_course_outline,write_down_important_points,space_out_revision,studying_in_study_group,schedule_appointments,goal_oriented,spaced_repetition,testing_and_active_recall,interleaving,categorizing,retrospective_timetable,cornell_notes,sq3r,commute,study_time,repeats_since_Y1,paid_tuition,free_tuition,extra_curricular,sports_extra_curricular,exercise_per_week,meditate,pray,internet,laptop,family_relationships,friendships,romantic_relationships,spiritual_wellnes,financial_wellness,health,day_out,night_out,alcohol_or_narcotics,mentor,mentor_meetings,A - 1. I am enjoying the subject,A - 2. Classes start and end on time,"A - 3. The learning environment is participative, involves learning by doing and is group-based",A - 4. The subject content is delivered according to the course outline and meets my expectations,A - 5. The topics are clear and logically developed,A - 6. I am developing my oral and writing skills,A - 7. I am developing my reflective and critical reasoning skills,A - 8. The assessment methods are assisting me to learn,A - 9. I receive relevant feedback,A - 10. I read the recommended readings and notes,A - 11. I use the eLearning material posted,B - 1. Concept 1 of 6: Principles of Business Intelligence and the DataOps Philosophy,B - 2. Concept 3 of 6: Linear Algorithms for Predictive Analytics,C - 2. Quizzes at the end of each concept,C - 3. Lab manuals that outline the steps to follow during the labs,C - 4. Required lab work submissions at the end of each lab manual that outline the activity to be done on your own,C - 5. Supplementary videos to watch,C - 6. Supplementary podcasts to listen to,C - 7. Supplementary content to read,C - 8. Lectures slides,C - 9. Lecture notes on some of the lecture slides,"C - 10. The quality of the lectures given (quality measured by the breadth (the full span of knowledge of a subject) and depth (the extent to which specific topics are focused upon, amplified, and explored) of learning - NOT quality measured by how fun/comical/lively the lectures are)",C - 11. The division of theory and practice such that most of the theory is done during the recorded online classes and most of the practice is done during the physical classes,C - 12. The recordings of online classes,"D - 1. 
Write two things you like about the teaching and learning in this unit so far.",D - 2. Write at least one recommendation to improve the teaching and learning in this unit (for the remaining weeks in the semester),Average Course Evaluation Rating,Average Level of Learning Attained Rating,Average Pedagogical Strategy Effectiveness Rating,Project: Section 1-4: (20%) x/10,Project: Section 5-11: (50%) x/10,Project: Section 12: (30%) x/5,Project: (10%): x/30 x 100 TOTAL,Quiz 1 on Concept 1 (Introduction) x/32,Quiz 3 on Concept 3 (Linear) x/15,Quiz 4 on Concept 4 (Non-Linear) x/22,Quiz 5 on Concept 5 (Dashboarding) x/10,Quizzes and  Bonus Marks (7%): x/79 x 100 TOTAL,Lab 1 - 2.c. - (Simple Linear Regression) x/5,Lab 2 - 2.e. -  (Linear Regression using Gradient Descent) x/5,Lab 3 - 2.g. - (Logistic Regression using Gradient Descent) x/5,Lab 4 - 2.h. - (Linear Discriminant Analysis) x/5,Lab 5 - Chart JS Dashboard Setup x/5,Lab Work (7%) x/25 x 100,CAT 1 (8%): x/38 x 100,CAT 2 (8%): x/100 x 100,"Attendance Waiver Granted: 1 = Yes, 0 = No",Absenteeism Percentage,Coursework TOTAL: x/40 (40%),EXAM: x/60 (60%),TOTAL = Coursework TOTAL + EXAM (100%),GRADE
C,1,1998,0,0,0,2,3,4,3,4,3,3,2,3,2,3,0,2,3,2,3,3,2,4,3,2,3,1,1,1,1,2,3,3,1,1,4,4,3,4,3,4,1,1,1,1,3,3,4,3,4,4,3,3,3,4,3,4,3,2,4,4,3,3,4,2,3,3,4,4,4,Quite interactive  Practical,N/A,3.4545,2.5000,3.4545,10.0,8.0,3.5,86.00,13.75,7.00,,8.00,36.39,,5.00,4.85,4.85,5.00,78.80,,88.00,0,11.11,23.70,,23.70,E
B,1,2000,0,0,1,3,3,2,4,4,4,4,3,4,4,2,1,3,3,2,3,3,2,4,4,2,3,0,0,1,1,1,2,2,1,1,4,4,3,4,3,5,2,1,1,1,2,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,1. The unit is very informative and engaging.  2.The unit provides a clear description of our career path ,Everything is going good,4.8182,5.0000,4.7273,9.0,4.0,0.0,52.00,10.48,9.00,10.08,5.67,44.59,5.00,3.25,4.85,,5.00,72.40,57.89,,0,14.81,18.02,24.00,42.02,D
B,0,2000,0,0,1,3,3,3,3,4,3,4,4,5,3,2,0,3,3,2,3,3,2,2,1,3,6,1,1,1,1,0,1,2,1,1,5,4,0,3,3,5,1,0,0,1,0,4,5,4,5,5,4,5,4,5,5,5,4,4,5,5,5,3,3,5,5,5,4,5,4,clear notes  lecture explains the notes very well,short and precise notes,4.6364,4.0000,4.4545,8.0,3.0,0.0,44.00,8.33,6.00,10.58,,31.53,5.00,3.00,4.85,,5.00,71.40,82.89,,0,3.70,18.23,5.00,23.23,E
B,1,1999,0,0,1,3,3,4,3,2,3,2,4,3,5,1,0,3,3,2,3,2,3,2,3,1,10,0,0,1,1,1,1,1,1,1,5,4,2,4,4,5,1,1,1,0,0,5,5,5,5,3,5,5,3,3,3,5,3,3,4,4,4,3,3,4,4,4,4,4,3,good,improve on class engagement ,4.2727,3.0000,3.7273,0.0,0.0,0.0,0.00,12.78,7.00,9.08,2.83,40.11,5.00,,,,0.00,20.00,40.78,,0,3.70,7.47,,7.47,E
A,0,2001,0,0,1,3,4,4,4,4,5,4,4,4,3,2,0,2,3,2,3,2,4,4,4,2,6,0,0,0,0,0,1,2,0,1,3,3,0,4,3,3,0,0,0,0,0,4.00,4.00,5.00,5.00,5.00,4.00,4.00,5.00,4.00,5.00,5.00,4.00,3.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,3.00,The teaching is very detailed   ,Learning materials like revision papers,4.5455,3.5000,4.8182,9.0,7.0,0.0,64.00,26.52,10.00,19.00,4.17,75.55,5.00,3.15,5.00,5.00,5.00,92.60,75.00,,0,18.52,24.17,37.00,61.17,B
B,1,2000,0,0,1,2,3,2,4,3,4,4,4,3,3,1,0,3,3,2,3,1,1,2,3,1,4,0,0,1,1,1,0,3,1,1,4,4,4,4,4,4,1,1,1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,4.0,0.0,52.00,15.45,,8.92,8.33,41.39,5.00,3.45,,5.00,5.00,73.80,84.21,,1,7.41,20.00,51.00,71.00,A
B,1,2000,0,0,0,3,3,3,3,3,3,3,3,3,3,3,0,2,2,1,2,1,2,2,3,1,6,0,1,0,1,1,0,2,1,1,4,4,3,3,2,3,0,0,0,0,1,5,5,4,5,4,3,4,5,4,4,5,4,4,5,5,4,4,4,4,4,5,4,5,5,The constant testing is really important  The labs help us understand more,We just need to pass with flying colours.,4.3636,4.0000,4.4545,9.0,4.0,0.0,52.00,10.82,8.50,8.33,5.00,41.32,5.00,3.00,4.85,5.00,5.00,91.40,52.63,,0,29.63,18.70,22.00,40.70,D
B,1,2000,0,0,1,2,4,3,3,5,4,2,3,2,1,1,0,1,2,2,3,2,1,1,2,1,1,0,0,1,1,1,0,3,0,1,3,2,0,3,4,4,0,0,0,1,1,5,5,3,5,5,4,5,5,5,5,5,4,3,5,4,4,5,2,4,5,4,4,4,3,How it can be applied in the job market.  The practicality of the unit and how it ties in well to my IS Project.,Let it be more easier to read too many slides to cover...,4.7273,3.5000,4.0000,8.5,9.0,0.0,70.00,14.37,8.00,13.75,4.67,51.63,5.00,,4.85,4.85,5.00,78.80,69.73,51.00,0,18.52,25.78,26.00,51.78,C
C,1,2000,0,0,1,3,4,3,4,5,5,4,5,5,3,3,0,4,3,3,3,3,3,4,1,3,0,0,0,1,1,2,1,2,0,1,4,4,0,3,3,3,1,0,0,0,0,4,4,4,5,5,4,4,5,5,5,5,5,3,5,5,5,4,4,4,5,5,5,5,2,1. The quizzes are good as it helps to gauge my understanding.   2. The content learnt is in depth and therefore enhances deep understanding. ,"1. Probably, giving a price to the best performing to give others motivation to compete with the very best. ",4.5455,4.0000,4.4545,7.0,6.0,4.9,71.60,19.40,13.00,18.50,8.67,75.40,5.00,5.00,5.00,5.00,5.00,100.00,84.21,100.00,0,14.81,34.17,49.00,83.17,A
B,0,2001,0,0,1,1,5,5,5,5,5,5,5,5,1,1,0,3,3,3,3,3,3,3,2,1,1,0,0,0,0,0,0,3,1,1,2,4,0,4,3,5,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,The delivery of content.   ,N/A,5.0000,5.0000,5.0000,10.0,10.0,0.0,80.00,25.75,11.00,17.50,9.00,80.06,5.00,3.50,4.25,2.85,5.00,82.40,94.73,63.00,0,18.52,31.99,32.00,63.99,B
A,1,2000,0,0,1,3,4,3,4,4,4,3,3,3,2,3,0,2,3,2,3,3,3,3,3,1,2,0,0,1,1,2,1,3,1,1,5,4,3,3,2,4,1,1,0,1,1,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,5.00,5.00,4.00,3.00,3.00,4.00,4.00,5.00,5.00,3.00,Real world applicationsThe manner in which it structured...,A bit more emphasis on the labs to develop better understanding of the models and concepts in practice   ,5.0000,4.0000,4.0909,10.0,10.0,,80.00,25.92,14.00,13.92,8.67,79.12,5.00,5.00,4.85,5.00,5.00,99.40,67.10,52.00,0,22.22,30.02,53.00,83.02,A
B,0,2001,0,0,0,4,4,2,4,2,5,3,4,4,2,2,0,2,3,2,3,2,2,2,1,2,2,0,0,0,1,0,0,1,1,1,5,5,3,3,4,4,1,1,1,0,1,5,5,4,5,5,5,5,5,4,3,4,5,4,5,5,4,4,5,4,5,5,4,4,5,The Labs give more insights.  The lecturer's teaching method.,"Until now, I am good with how things are going.",4.5455,4.5000,4.5455,8.0,9.0,4.5,86.00,20.40,10.00,,7.00,47.34,5.00,4.85,4.85,5.00,5.00,98.80,71.05,86.00,1,23.08,31.39,26.00,57.39,C
C,0,2001,0,0,1,4,3,4,3,3,4,4,3,3,2,2,1,3,3,2,2,2,3,3,3,1,3,0,0,0,0,2,3,3,1,1,3,4,0,4,4,4,1,1,1,0,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,The analogies used help me understand better. The labs are quite simple to understand.,"Try make the notes shorter, because its quite hard to find motivation to go through 142 slides.",4.0000,4.0000,4.0000,10.0,8.0,3.5,86.00,12.28,7.00,11.08,5.17,44.97,5.00,4.85,4.85,5.00,5.00,98.80,52.63,88.00,0,14.81,29.91,12.00,41.91,D
C,1,2002,0,0,1,4,4,4,4,4,4,3,5,5,1,1,0,3,3,3,3,3,3,3,3,2,3,0,0,1,1,2,0,3,1,1,5,5,3,5,5,5,1,1,0,0,0,5,5,3,5,5,4,4,5,4,4,5,5,4,4,5,5,5,5,5,5,5,5,5,5,The content is interesting and is delivered in a efficient manner especially with the quizzes.  There is enough material to make the unit easy to understand.,"Maybe making separate slides instead of having all of them together cause it can be scary to see 190 slides before reading for a CAT, quiz or exam.",4.4545,4.5000,4.9091,10.0,8.0,3.5,86.00,12.37,7.00,8.58,6.67,43.82,5.00,2.85,3.25,4.85,5.00,83.80,59.21,88.00,0,19.23,29.31,27.00,56.31,C
B,1,2001,0,0,1,3,5,4,5,5,5,5,3,2,1,2,0,2,2,2,2,2,3,1,4,1,4,0,0,1,1,2,3,0,1,1,4,5,0,2,1,5,0,0,1,1,2,5,5,5,5,4,4,5,5,5,5,5,4,3,5,5,5,5,3,4,5,5,5,5,5,1. Content Delivery. Well written notes/slides for revision even outside class  2. Video content,Give more explanation during class disscussions,4.8182,3.5000,4.7273,7.4,0.0,0.0,29.60,15.83,15.00,9.50,7.00,59.91,5.00,3.15,4.85,4.85,0.00,71.40,64.47,,0,11.11,17.30,24.00,41.30,D
C,0,2002,0,0,0,3,4,5,5,5,5,3,5,4,2,1,0,4,3,3,3,3,2,1,3,1,0,0,0,1,0,1,0,3,1,1,5,4,0,5,3,5,0,0,0,1,1,5,5,5,5,5,4,5,5,5,5,5,5,3,5,5,5,3,3,5,5,5,5,5,5,I like that is is very interactive and students are given the opportunity to air out their concerns in case one hasn't understood a particular concept.  I also like that the labs are done in class with the lecturer as this helps in understanding the concept better.,"I would recommend more group work to be given, using our already formed groups, to encourage students in learning the concepts better.",4.9091,4.0000,4.6364,7.0,6.0,4.9,71.60,15.33,14.00,19.25,,61.49,5.00,5.00,5.00,5.00,5.00,100.00,88.15,100.00,0,18.52,33.51,46.00,79.51,A
C,1,2002,0,0,0,1,1,2,2,1,1,2,2,1,4,1,0,1,2,2,2,1,1,2,3,1,1,0,0,0,1,2,0,3,1,1,5,4,4,3,3,4,1,1,0,0,0,3,4,3,3,2,2,2,4,3,3,3,2,3,3,4,4,3,3,3,3,3,3,3,4,Working on lab manuals  looking at different concepts,Having sliders that are not too worded or trying to incorporate more diagrams and illustrations to explain concepts ,2.9091,2.5000,3.2727,10.0,8.0,3.5,86.00,10.78,6.00,10.33,5.67,41.49,5.00,4.85,4.85,2.85,0.00,70.20,57.89,88.00,0,14.81,28.08,25.00,53.08,C
B,0,2002,0,0,1,2,2,2,3,5,5,1,5,4,5,2,0,3,3,1,3,3,3,1,4,1,0,0,1,1,0,1,0,3,1,1,5,5,0,4,5,5,1,0,0,0,0,5,5,5,5,5,4,4,5,5,5,5,4,4,5,5,4,5,5,5,5,5,5,5,5,Helpful responses from the lecturer   Interactive sessions for learning purposes ,More explanation in simpler terms in the lab activities for example like this step is for ...,4.8182,4.0000,4.9091,9.0,9.2,5.0,92.80,31.00,12.00,21.00,9.00,92.40,5.00,5.00,4.85,5.00,5.00,99.40,73.68,81.00,0,7.41,35.08,36.00,71.08,A
C,0,2001,0,0,0,3,4,4,3,4,5,4,4,3,1,4,0,2,3,3,4,3,4,4,3,1,1,0,0,0,0,0,0,3,1,1,5,4,0,5,2,5,0,0,0,0,0,4,5,3,5,5,4,5,5,5,4,5,5,4,4,5,5,4,3,3,5,5,4,5,4,It is highly practical   Arranged in a chronological order,None,4.5455,4.5000,4.2727,8.4,8.0,0.0,65.60,13.33,10.00,15.42,6.67,57.49,5.00,2.45,4.85,5.00,5.00,89.20,81.57,25.00,0,18.52,25.35,37.00,62.35,B
C,1,2001,0,0,1,1,5,1,3,3,5,1,1,5,1,1,0,4,4,1,1,4,1,4,1,3,2,0,0,1,0,0,1,0,1,1,5,5,3,5,5,5,1,0,1,1,0,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,The notes  the planning,If the lecturer could speak a bit louder in physical class,5.0000,5.0000,4.0000,9.1,8.0,0.0,68.40,15.12,8.00,17.17,,51.00,5.00,2.45,4.85,,0.00,49.20,67.10,67.00,0,11.11,24.58,26.00,50.58,C
C,1,2001,0,0,1,3,4,4,3,4,2,4,3,2,2,1,1,3,3,2,3,3,1,1,4,2,0,0,0,1,0,0,0,1,0,1,4,4,0,2,2,1,1,1,0,0,0,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,Slides are well detailed   Lecturer saves the online recordings,More quiizzes,3.8182,4.0000,4.0909,2.0,0.0,0.0,8.00,7.95,9.00,,6.83,30.10,5.00,2.15,2.85,5.00,5.00,80.00,63.15,,0,0.00,13.55,28.00,41.55,D
B,0,2002,0,0,1,1,5,5,1,4,2,2,5,1,1,5,0,1,4,4,1,3,1,3,2,1,0,0,0,1,0,1,0,1,1,1,3,3,0,1,1,5,1,0,1,0,0,4,4,4,4,5,5,5,5,4,5,4,3,4,5,5,4,2,2,3,4,5,3,4,4,The lecturer tries as much as possible to explain the contents.  The lecturer is easy to talk to and ask questions where not understood.,"Instead of netflix, we can watch short youtube videos that explain a certain content.",4.4545,3.5000,3.7273,8.0,7.0,1.0,64.00,11.45,9.00,11.75,8.00,50.88,5.00,3.00,4.85,3.85,3.80,82.00,71.05,62.00,0,14.81,26.34,46.00,72.34,A
B,1,2001,0,0,1,3,4,4,3,5,5,3,4,4,1,1,0,3,3,4,2,1,4,4,3,2,0,1,1,1,0,1,0,3,0,1,5,4,3,4,3,4,1,0,0,1,1,5,5,4,5,5,3,4,5,5,5,5,5,5,5,5,5,4,4,4,5,5,5,5,5,Very clear and understandable,No recommendation,4.6364,5.0000,4.7273,8.0,2.0,0.0,40.00,21.15,8.00,11.33,,51.24,5.00,4.00,4.85,4.85,5.00,94.80,81.57,92.00,0,22.22,28.10,42.00,70.10,A
A,0,2002,0,0,1,2,3,4,5,4,5,3,4,3,1,1,0,3,4,3,3,2,3,4,3,2,1,0,1,0,0,1,1,3,1,1,4,5,0,4,4,5,1,0,0,0,1,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,5.00,4.00,4.00,4.00,5.00,5.00,4.00,4.00,4.00,4.00,5.00,5.00,5.00,5.00,5.00,Actual examples that help better my understanding and the hands on labs make the theory easier to understand ,"If we do get stuck on the labs ,some assistance to better understand them would be nice ",4.9091,4.0000,4.6364,8.5,7.8,0.0,65.20,16.85,9.00,17.33,0.00,54.65,5.00,3.00,4.85,4.35,0.00,68.80,63.15,,0,30.77,20.21,50.00,70.21,A
B,1,2001,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,4,1,0,0,0,0,0,0,0,0,1,1,4,3,0,4,2,2,0,1,0,0,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,4,3,2,4,It is interactive  It is informing,Be less strict,3.9091,4.0000,3.5455,6.8,7.0,2.4,64.80,14.75,7.00,11.75,4.67,48.31,5.00,4.15,4.85,2.85,5.00,87.40,64.47,68.00,0,11.11,26.57,31.00,57.57,C
C,0,2001,0,0,0,2,2,3,4,4,4,3,4,3,2,2,0,2,2,3,3,2,2,3,3,2,4,0,1,1,0,1,1,1,1,1,3,4,0,2,1,4,0,0,1,0,0,5,5,5,5,5,5,5,5,5,5,4,3,3,5,5,5,4,5,4,5,5,4,5,4,The lecturer tries as much as possible to ensure we understand,n/a,4.9091,3.0000,4.6364,8.2,6.8,0.0,60.00,12.62,9.00,8.08,,37.59,5.00,,,2.85,0.00,31.40,88.15,,0,11.11,17.88,34.00,51.88,C
C,0,2001,0,0,0,2,4,2,5,5,4,1,5,3,1,1,0,3,4,3,3,2,1,2,2,3,1,1,1,1,0,2,2,0,1,1,4,4,0,3,3,3,1,1,0,0,0,5,5,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,4,5,5,5,5,5,5,I like how organized all the material is including the Google Calendar.  I like how detailed the lab assignments are,None,5.0000,3.5000,4.9091,9.1,8.0,0.0,68.40,16.85,9.00,14.42,7.33,60.25,5.00,5.00,4.85,,0.00,59.40,90.78,0.00,0,11.11,22.47,37.00,59.47,C
